kconfig-frontends	4.11.0.1+dfsg-6
kerneloops	0.12+git20140509-6ubuntu5
keyboard-configuration	1.205ubuntu3
keyutils	1.6.1-2ubuntu3
klibc-utils	2.0.10-4ubuntu0.2
kmod	29-1ubuntu1.1
krb5-locales	1.19.2-2ubuntu0.8
krb5-multidev:amd64	1.19.2-2ubuntu0.8
l4t-cuda-repo-cross-aarch64-ubuntu2204-12-6-local	12.6.11-1
l4t-cuda-repo-ubuntu2204-12-6-local	12.6.11-560.35.03-1
language-pack-en	1:22.04+20240902
language-pack-en-base	1:22.04+20240902
language-pack-gnome-en	1:22.04+20240902
language-pack-gnome-en-base	1:22.04+20240902
language-pack-gnome-ko	1:22.04+20240902
language-pack-gnome-ko-base	1:22.04+20240902
language-pack-ko	1:22.04+20240902
language-pack-ko-base	1:22.04+20240902
language-selector-common	0.219.1
language-selector-gnome	0.219.1
laptop-detect	0.16
lbzip2	2.5-2.3
lcov	1.15-1
less	590-1ubuntu0.22.04.3
