timestamp_us,angle_deg,altitude_m,score,top_val,mid_val,bot_val
17705453,0,-1.0,638.7272727272727,703.0,703.0,703.0
17793458,0,-1.0,638.7272727272727,703.0,703.0,703.0
17890084,0,-1.0,638.7272727272727,703.0,703.0,703.0
17984744,0,-1.0,638.7272727272727,703.0,703.0,703.0
18078137,0,-1.0,638.7272727272727,703.0,703.0,703.0
18170099,0,-1.0,638.7272727272727,703.0,703.0,703.0
18267496,0,-1.0,638.7272727272727,703.0,703.0,703.0
18358068,0,-1.0,638.7272727272727,703.0,703.0,703.0
18449521,0,-1.0,638.7272727272727,703.0,703.0,703.0
18531598,0,-1.0,638.7272727272727,703.0,703.0,703.0
18625601,0,-1.0,638.7272727272727,703.0,703.0,703.0
18719830,0,-1.0,638.7272727272727,703.0,703.0,703.0
18812401,0,-1.0,638.7272727272727,703.0,703.0,703.0
18912628,0,-1.0,638.7272727272727,703.0,703.0,703.0
19003190,0,-1.0,638.7272727272727,703.0,703.0,703.0
19098242,0,-1.0,638.7272727272727,703.0,703.0,703.0
19189093,0,-1.0,638.7272727272727,703.0,703.0,703.0
19279433,0,-1.0,638.7272727272727,703.0,703.0,703.0
19375570,0,-1.0,638.7272727272727,703.0,703.0,703.0
19466918,0,-1.0,638.7272727272727,703.0,703.0,703.0
19549839,0,-1.0,638.7272727272727,703.0,703.0,703.0
19645619,0,-1.0,638.7272727272727,703.0,703.0,703.0
19735602,0,-1.0,638.7272727272727,703.0,703.0,703.0
19829002,0,-1.0,638.7272727272727,703.0,703.0,703.0
19916638,0,-1.0,638.7272727272727,703.0,703.0,703.0
20026028,0,-1.0,638.7272727272727,703.0,703.0,703.0
20114168,0,-1.0,638.7272727272727,703.0,703.0,703.0
20201686,0,-1.0,638.7272727272727,703.0,703.0,703.0
20283205,0,-1.0,638.7272727272727,703.0,703.0,703.0
20372222,0,-1.0,638.7272727272727,703.0,703.0,703.0
20456877,0,-1.0,638.7272727272727,703.0,703.0,703.0
20541775,0,-1.0,638.7272727272727,703.0,703.0,703.0
20627669,0,-1.0,638.7272727272727,703.0,703.0,703.0
20714060,0,-1.0,638.7272727272727,703.0,703.0,703.0
20803730,0,-1.0,638.7272727272727,703.0,703.0,703.0
20890445,0,-1.0,638.7272727272727,703.0,703.0,703.0
20981268,0,-1.0,638.7272727272727,703.0,703.0,703.0
21068397,0,-1.0,638.7272727272727,703.0,703.0,703.0
21167721,0,-1.0,638.7272727272727,703.0,703.0,703.0
21256041,0,-1.0,638.7272727272727,703.0,703.0,703.0
21346199,0,-1.0,638.7272727272727,703.0,703.0,703.0
21435360,0,-1.0,638.7272727272727,703.0,703.0,703.0
21520626,0,-1.0,638.7272727272727,703.0,703.0,703.0
21615566,0,-1.0,638.7272727272727,703.0,703.0,703.0
21704675,0,-1.0,638.7272727272727,703.0,703.0,703.0
21796749,0,-1.0,638.7272727272727,703.0,703.0,703.0
21884377,0,-1.0,638.7272727272727,703.0,703.0,703.0
21975867,0,-1.0,638.7272727272727,703.0,703.0,703.0
22067806,0,-1.0,638.7272727272727,703.0,703.0,703.0
22155130,0,-1.0,638.7272727272727,703.0,703.0,703.0
22246725,0,-1.0,638.7272727272727,703.0,703.0,703.0
22330069,0,-1.0,638.7272727272727,703.0,703.0,703.0
22418465,0,-1.0,638.7272727272727,703.0,703.0,703.0
22510385,0,-1.0,638.7272727272727,703.0,703.0,703.0
22598239,0,-1.0,638.7272727272727,703.0,703.0,703.0
22685701,0,-1.0,638.7272727272727,703.0,703.0,703.0
22769967,0,-1.0,638.7272727272727,703.0,703.0,703.0
22855228,0,-1.0,638.7272727272727,703.0,703.0,703.0
22944863,0,-1.0,638.7272727272727,703.0,703.0,703.0
23029650,0,-1.0,638.7272727272727,703.0,703.0,703.0
23122637,0,-1.0,638.7272727272727,703.0,703.0,703.0
23219691,0,-1.0,638.7272727272727,703.0,703.0,703.0
23318625,0,-1.0,638.7272727272727,703.0,703.0,703.0
23416942,0,-1.0,638.7272727272727,703.0,703.0,703.0
23521076,0,-1.0,638.7272727272727,703.0,703.0,703.0
23626161,0,-1.0,638.7272727272727,703.0,703.0,703.0
23723402,0,-1.0,638.7272727272727,703.0,703.0,703.0
23825412,0,-1.0,638.7272727272727,703.0,703.0,703.0
23936553,0,-1.0,638.7272727272727,703.0,703.0,703.0
24052686,0,-1.0,638.7272727272727,703.0,703.0,703.0
24171017,0,-1.0,638.7272727272727,703.0,703.0,703.0
24292300,0,-1.0,638.7272727272727,703.0,703.0,703.0
24396694,0,-1.0,638.7272727272727,703.0,703.0,703.0
24505255,0,-1.0,638.7272727272727,703.0,703.0,703.0
24597587,0,-1.0,638.7272727272727,703.0,703.0,703.0
24693263,0,-1.0,638.7272727272727,703.0,703.0,703.0
24783535,0,-1.0,638.7272727272727,703.0,703.0,703.0
24878867,0,-1.0,638.7272727272727,703.0,703.0,703.0
24965074,0,-1.0,638.7272727272727,703.0,703.0,703.0
25052984,0,-1.0,638.7272727272727,703.0,703.0,703.0
25148049,0,-1.0,638.7272727272727,703.0,703.0,703.0
25245238,0,-1.0,638.7272727272727,703.0,703.0,703.0
25337295,0,-1.0,638.7272727272727,703.0,703.0,703.0
25425444,0,-1.0,638.7272727272727,703.0,703.0,703.0
25516417,0,-1.0,638.7272727272727,703.0,703.0,703.0
25600170,0,-1.0,638.7272727272727,703.0,703.0,703.0
25690953,0,-1.0,638.7272727272727,703.0,703.0,703.0
25781959,0,-1.0,638.7272727272727,703.0,703.0,703.0
25875075,0,-1.0,638.7272727272727,703.0,703.0,703.0
25966169,0,-1.0,638.7272727272727,703.0,703.0,703.0
26059965,0,-1.0,638.7272727272727,703.0,703.0,703.0
26150568,0,-1.0,638.7272727272727,703.0,703.0,703.0
26252196,0,-1.0,638.7272727272727,703.0,703.0,703.0
26345163,0,-1.0,638.7272727272727,703.0,703.0,703.0
26437859,0,-1.0,638.7272727272727,703.0,703.0,703.0
26531887,0,-1.0,638.7272727272727,703.0,703.0,703.0
26622623,0,-1.0,638.7272727272727,703.0,703.0,703.0
26717069,0,-1.0,638.7272727272727,703.0,703.0,703.0
26809822,0,-1.0,638.7272727272727,703.0,703.0,703.0
26898726,0,-1.0,638.7272727272727,703.0,703.0,703.0
26990144,0,-1.0,638.7272727272727,703.0,703.0,703.0
27070537,0,-1.0,638.7272727272727,703.0,703.0,703.0
27159459,0,-1.0,638.7272727272727,703.0,703.0,703.0
27251234,0,-1.0,638.7272727272727,703.0,703.0,703.0
